,Restaurant Name,Rating,Reviews,positive,negative,neutral,overall
0,Satchel's Pizza,4.5 star rating,"Their pizzas are amazing. Everything from the pizza bread, the sauce and cheese is amazeballs!! I could go everyday and never get tired of eating here. They have a cute blue van that people can eat in. I never have because of my arthritis. They have a shop that has awesome things to give as gifts or keep For yourself.  They also have a spot for a band, we've never gone at those times. Their parking can get congested at peak hours as everyone loves to eat here! So come early, or park next door. But I'd suggest going for an early dinner or a nice long lunch.

Oh! Also, they are cash only. They have an ATM, I don't remember how much it costs to take money out, but that part goes to a charity.  Welcome to Gainesville! Have a great time.",0.276,0.035,0.689,Positive
1,Satchel's Pizza,4.5 star rating,"""Disneyland for hippies"".  

But yeah, they have vegan pizza and tempeh toppings, reasonably priced so I'm not mad at it.  
Ask for the vegan personal pizza, off menu special.  It's the size and price of two large slices ($8 + 50c topping, load it up!) and I could barely eat all of it!  Pretty good crust depending on how long it's been in the oven, it's *perfect* almost NY style it's it's fully cooked/a like extra crusty.  I've had it a little underdone too.

Lightning salvage music venue in back is similarly hoky, like a Chuck E. Cheese for adults.  Get good and high before you go, and the bizzarro folk art everywhere will be a fun experience.

Staff is a little off.  Not enough to ruin your meal though.  They play good music sometimes, especially in the back.  My favorite seating is the little alley of booths on the side of the building, if you go with friends it feels private even with other people in there.  

Also they have good soda.",0.298,0.05,0.652,Positive
2,Satchel's Pizza,4.5 star rating,"I don't look to go to Satchel's very often, as I am really not a fan of their pizza, but it is close to my work place, so it happens from time to time.

This time around it was for lunch, so I went for the lunch special of a salad and a slice of pizza, plus an extra slice because I was feeling hungry. One slice of jalapeno, the other with pineapple. Frankly, I should have just gone for the single slice with two toppings, because I was stuffed afterwards.

The salads are quite good, I will happily admit. The pizza? Meh. Really, not a fan of this style of pizza and how they make it. However, the place is a definite college town kind of place, which is odd given how far away from UF it actually is. I would expect to find a place like this across the street from the university, not nearly three miles as the crow flies (which with Gainesville traffic equates to a 20 minute drive).",0.257,0.035,0.708,Positive
3,Satchel's Pizza,4.5 star rating,"Pizza was delicious. Definitely worth a visit while we were in town. The dough was so good and the crust was perfect.

We enjoyed sitting outside in the nice weather. We also ordered a flight of soda to try. My favorite was the ginger ale. Also loved the story sheet that came with the flight!

Service was fast and friendly. We went next door to the little shop afterwards and looked around. Also took a peek in the garden area. Really enjoyed our experience here and will return next time we are in Gainesville.",0.458,0.0,0.542,Positive
4,Satchel's Pizza,4.5 star rating,"When in Gainesville, you HAVE to visit this place!  This is an artsy,  super quirky and uniquely decorated pizza joint! You can eat in a van or even a plane- yep. You heard me!  We started off with a fun handcrafted soda flight, followed by their famous salad, ending with the Satch pan pizza which was phenomenal! The dough was thick, fluffy and soft... the best texture. Slices were huge!  You definitely have to try this spot if you're in the area. We were lucky as we didn't have to wait at all! We were seated immediately on a Friday evening around 6:00 pm.",0.318,0.0,0.682,Positive
5,Satchel's Pizza,4.5 star rating,"The best salad ever!!! Cool place lots to see abs is so amazing how they reuse everything!
Definitely a must try!!",0.565,0.0,0.435,Positive
6,Satchel's Pizza,4.5 star rating,"Top shelf ZA: bar none.   After 50 years of eating pizza this one makes my  all time top 20 globally....and that is a lot of pizza!    A very tasty offering of local craft beer  as well as large volume producers.   A nice selection of toppings and lots of choices for both meat and veg heads.   Their salad is also a standout in both use of real greens and nuts and NOT a lame mess  of iceberg lettuce and shredded carrots.    The house dressing is definitely worth taking home.   A nice interpretation of a balsamic blend kudos!

We had the  veg deep dish with black olives, onions, g-peppers, jalapeños, veg sausage & garlic....2 of us could only eat half.   Reheated luxury will begin tonight as it is even better the next day!

Mind you the variety of flavors does not start or stop with the food.   The folks there we OTT kind and gracious plus the eclectic style makes the 5th star possible for me.   It is a complete experience you will both remember and return to as often as your wasteline will allow....daily if you focus on the salad!
Thanks to Tory and Savannah!",0.239,0.069,0.692,Positive
7,Satchel's Pizza,4.5 star rating,"Good Pizza and good funky Ambience.
The styles of pizza vary, I recommend their house pie.",0.497,0.084,0.419,Positive
8,Satchel's Pizza,4.5 star rating,"We really wanted to go somewhere that would accommodate groups, and I instantly thought of Satchel's Pizza! I had gone here before a few years ago, but after a while we were ready to return. Instantly, the atmosphere was great, it felt really home-y and cozy!

We had a group of around 13 people, so the wait was a little while, but nothing too crazy. It seemed to fly by with the attractions and live music on the Friday night. Our group ordered various types of pizza, and they were absolutely delicious. I loved the fact that it's freshly made, and there were so many varieties that catered to our group's dietary restrictions.

Great food with a great environment--highly recommend if you decide to drop by Gainesville!",0.334,0.026,0.64,Positive
9,Satchel's Pizza,4.5 star rating,"It's never disappointing! If you want pizza that tastes great with an eclectic background, then this is the place to be! The customer service is always friendly and parking is unique.",0.429,0.053,0.518,Positive
10,Bolay,4.5 star rating,"If I were put on the spot to choose a place to eat, my first choice would be Bolay. This is the place that not only hits your tastebud's needs, but also gives you all the nutritional options that your body needs.

I always go with the Sweet Potato Noodles base, basically a savory clear noodle option, but it doesn't taste like sweet potatoes. The vegetable options always vary but I'd recommended the potatoes, Brussels sprouts, zucchini, or corn! I always go with the bbq chicken or teriyaki chicken option but you can't go wrong with any protein.

I love the sauces that come with each bowl, and I'd recommend trying all of them to see which fits your taste buds. The white creamy sauce is also vegan! 10/10 would recommend trying and coming here regularly!!",0.2,0.048,0.752,Positive
11,Bolay,4.5 star rating,"Hip hip BOLAY!

Pictured is a fresh bowl with a base of kale salad and jasmine rice, topped with teriyaki chicken, lemon chicken, beans, roasted red potatoes, and fresh cilantro.

Try this with a side of their pesto sauce; it's remarkable!

For the rating of 4/5, this location just did not have their highly anticipated Asian sweet potato noodles at the time. Next time, I sure hope they do!",0.316,0.0,0.684,Positive
12,Bolay,4.5 star rating,"I've had Bolay before but this time I went ""all out"" for dinner. I ordered a large bowl with steak, potato noodles, kale salad, Brussel sprouts, corn and avocado. The steak and avocado was an upcharge along with the extra shrimp I ordered. Also bought a Hawaiian healer drink and a water. As always the food was fresh and delicious. I was really surprised at how refreshing the Hawaiian drink was, it was a combination of pineapple and ginger. I walked away with a full stomach and even had leftovers to take home. Lastly, the service is also polite and attentive. I'm always satisfied eating Bolay and this specific establishment seems to offer quality on every level.",0.145,0.0,0.855,Positive
13,Bolay,4.5 star rating,"When I went to Bolay the other times, I was disappointed. After reading my review, Dan and Matthew- both the managers- personally reached out to me and gave me a complimentary bowl. I appreciated this a lot and they fixed the problems that I had addressed in my previous review. I love a restaurant that actually listens to the voiced concerns on their customers. I had never tried the cookies but let me tell you- the snickerdoodle and chocolate chip cookies are so SO great!! I will continue being a regular for their fresh and delicious food!",0.349,0.093,0.558,Positive
14,Bolay,4.5 star rating,"After hearing lots of good things about this lace I finally got a chance to check them out.

When I arrived I was taken back by how busy they were which to me is a great sign that the food is good. I enter to find a bright, clean well-organized dining area. I really loved the color palette here.

It took me a moment to get the layout of the place but it was an easy process. You simply head down to the counter where you place your order. YOu can choose from house-made bowls or choose to build your own.

I went with a build your own. I was able to choose my base from sweet potatoes noodles to rice to spinach. Then you get 2 vegetable options I went with mushrooms and Tuscan Zucchini. Last you choose a protein I went with Terkayi chicken but you can choose bbq chicken, lemon pepper, mojo pork or tofu, and even shrimp. Of meat is not your thing you can add an extra veggie.

The final stop was dressing as well as cheese and cilantro.

I have to say this place is amazing. The food is fresh, great-tasting, and is much healthier than in some places. Plus serve was quick and friendly. Everyone was super sweet and so helpful.

I was really loving the flavors here with grilled vegetables, roasted vegetables, tender flavorful meat. t was a nice change for the taste buds.

Also, the price is reasonable and portions are the perfect size to keep you full and fueled.",0.346,0.013,0.641,Positive
15,Bolay,4.5 star rating,"Wow. Just wow. I can't believe I waited so long to try this place! I went at lunch time and got a small bowl, which was PLENTY of food and let me tell you - ya girl can EAT. I'm stuffed!!

I opted for the build your own bowl option: Sweet potato noodles, teriyaki chicken, broccoli, potatoes. Everything was incredible. I got their garlic sauce on the side as well. They have fountain drinks, but I'd highly recommend doling out the ~$4 for a fresh pressed juice. The strawberry orange was insanely refreshing on this hot day.

There's plenty of seating both inside and outside. The staff are really nice and will offer suggestions and their favorites in case you've never been there and need some help. They also have pre-set bowl options to choose from. I will be back (like really soon).",0.258,0.022,0.72,Positive
16,Bolay,4.5 star rating,"The delicious aromas that hit you when you walk in reassure you you've made a good choice! The food here was super fresh and they had tasty options like black rice, cilantro noodles and meats as well as vegan options! The staff were all super friendly, clean in appearance and quick.",0.609,0.0,0.391,Positive
17,Bolay,4.5 star rating,Very fresh and flavorful dishes. Portions are decent for the price. Sauces on the side are all good too.,0.426,0.0,0.574,Positive
18,Bolay,4.5 star rating,I can't rave about this place enough! please come to Jacksonville lol I eat here every time i'm in gainesville! the large bol is enough for two ppl really. and it's so fresh and properly placed. The black rice is amazing with lemon chicken. i can't get enough! i'd eat here everyday if i could!,0.258,0.0,0.742,Positive
